product_name,brand,root_category,leaf_category,retail_price,discounted_price
Alisha Solid Women's Cycling Shorts,Alisha,clothing,shorts,999.0,379.0
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,furniture,fabric double sofa bed finish colo,32157.0,22646.0
AW Bellies,AW,footwear,bellies,999.0,499.0
Alisha Solid Women's Cycling Shorts,Alisha,clothing,shorts,699.0,267.0
Sicons All Purpose Arnica Dog Shampoo,Sicons,pet supplies,shampoo,220.0,210.0
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,Eternal Gandhi,eternal gandhi super series crystal paper weight,super series crystal paper weight,430.0,430.0
Alisha Solid Women's Cycling Shorts,Alisha,clothing,shorts,1199.0,479.0
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,furniture,fabric double sofa bed finish colo,32157.0,22646.0
"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar,footwear,bellies corporate casuals casuals,699.0,349.0
Alisha Solid Women's Cycling Shorts,Alisha,clothing,shorts,1199.0,479.0
